Epoch,train_loss,train_acc,val_loss,val_acc
1,2.894259095496839,10.194,2.3025672745704653,10.22
2,2.3017679846195307,10.482,2.303712182044983,10.01
3,2.298706958360989,10.734,2.2980307507514954,10.68
4,2.0484628906030484,19.912,1.971065353155136,23.29
5,1.743500336356785,33.246,1.6193104779720306,38.56
6,1.4902000668103739,44.444,1.5861306011676788,45.27
7,1.2844327329979528,53.244,1.3128992080688477,51.46
8,1.1023200326563452,60.398,1.1561302900314332,60.06
9,0.9792215703698375,64.942,1.3342193531990052,56.42
10,0.8921166617242272,68.44,0.9880433136224747,65.62
11,0.8272786872161318,71.03,0.8616510140895843,70.33
12,0.7583785250668635,73.562,1.0441873753070832,66.15
13,0.7035654274094135,75.562,0.8507701110839844,71.53
14,0.665671565953423,77.088,0.9451039409637452,69.09
15,0.6385833133212135,77.896,0.8619664639234543,69.83
16,0.6102038963371531,78.872,0.8277939939498902,72.32
17,0.5872090689056669,79.666,0.7055525028705597,76.1
18,0.5727095811263375,80.286,0.7644575652480126,75.63
19,0.5600315228752468,80.572,0.8412983804941178,73.1
20,0.5451196217171067,81.246,0.8206652474403381,73.83
21,0.5312381392854559,81.64,0.6468165269494057,78.28
22,0.5141718964595015,82.406,0.7757946270704269,74.55
23,0.5073246429186038,82.524,0.6079131117463112,80.16
24,0.5022137886880303,82.752,0.6215399667620659,79.25
25,0.4883523924881235,83.294,0.673917429447174,77.27
26,0.4772756008236,83.638,0.5571276971697807,80.86
27,0.47291089133228487,83.97,0.7039271900057793,77.33
28,0.4666970850104261,83.904,0.5876064085960389,80.25
29,0.45597506506973523,84.26,0.8059255701303482,74.96
30,0.45802771976536805,84.34,0.5519431966543198,81.83
31,0.4522082590690964,84.35,0.7899366796016694,76.53
32,0.44654705937561173,84.646,0.5461039671301842,81.79
33,0.43831896690456457,84.974,0.6319588601589203,78.95
34,0.43742987010485074,85.12,0.598833110332489,80.17
35,0.42655815016430665,85.294,0.5552971777319908,81.63
36,0.42462695315670784,85.386,0.6112561699748039,80.46
37,0.41931254346199964,85.656,0.6946173393726349,77.82
38,0.4185632788921561,85.756,0.6699578329920769,77.99
39,0.4097045585703667,85.88,0.6013401198387146,80.28
40,0.41458261901003013,85.83,0.5647242337465286,80.76
41,0.39944807300939583,86.166,0.5314958617091179,82.65
42,0.4019664348010212,86.146,0.634336122572422,79.83
43,0.39598037801740116,86.392,0.7426902553439141,77.32
44,0.3944094312541625,86.348,0.5661196991801262,81.72
45,0.3895271311102011,86.69,0.629750857502222,80.05
46,0.39139895575583133,86.556,0.6100665447115898,79.72
47,0.38166168076760326,86.862,0.5273438930511475,82.43
48,0.3755802785039253,87.134,0.4270032571256161,85.66
49,0.3780967083657184,87.174,0.6073802062869071,80.9
50,0.37334362910988994,87.34,0.5471059092879296,81.31
51,0.36938406515609273,87.35,0.6501219734549523,78.43
52,0.3680459664529547,87.462,0.5148199626803398,82.77
53,0.36220697818509756,87.518,0.49655541390180585,83.17
54,0.3634977784684247,87.462,0.5157791051268578,82.9
55,0.3578979775423894,87.92,0.5430871918797493,82.21
56,0.3614797949257409,87.626,0.4586512258648872,84.5
57,0.3488045223152546,87.972,0.6842539256811142,78.47
58,0.34968757484575064,87.884,0.5203682208061218,82.59
59,0.34499747109839984,88.214,0.4847755298018456,83.56
60,0.3393960558926053,88.328,0.4226583616435528,85.48
61,0.33620951562891227,88.44,0.5573828935623169,82.73
62,0.34033705174084516,88.29,0.5184627005457878,83.13
63,0.3363460805981665,88.36,0.5933797271549701,82.01
64,0.33151277133723356,88.7,0.50159304022789,83.46
65,0.3303428355918821,88.71,0.5260905709862709,82.86
66,0.32779942506262105,88.702,0.563036385178566,82.03
67,0.3296283191960791,88.428,0.4926728741824627,84.2
68,0.3223928155953927,88.794,0.479683857858181,84.21
69,0.32088622043047416,88.976,0.5398905991017818,83.51
70,0.3211007546966948,88.878,0.5397150692343712,82.64
71,0.31713903723927717,88.986,0.5790192392468453,81.91
72,0.31345034243962955,89.244,0.4122042804956436,86.24
73,0.30905266300491663,89.304,0.5486804053187371,82.8
74,0.3032634626035495,89.598,0.5188494211435318,82.87
75,0.3034297598292456,89.662,0.3940485289692879,87.02
76,0.30407117802621153,89.334,0.45163492381572723,84.67
77,0.30148963569222814,89.58,0.5016903832554818,83.93
78,0.293000697632275,89.91,0.438600677549839,85.43
79,0.2896561381380881,90.02,0.5948716205358505,81.25
80,0.2876134488131384,90.158,0.5506765368580818,82.2
81,0.28681013340611594,90.146,0.6773623156547547,79.65
82,0.2831202863770373,90.352,0.4458216717839241,86.02
83,0.28821807867273347,90.34,0.3852080777287483,87.04
84,0.27602953187492496,90.516,0.38417958229780197,87.44
85,0.2786967476539295,90.36,0.41874209403991697,86.25
86,0.27524859311483096,90.456,0.3893763092160225,87.4
87,0.27366575049927166,90.628,0.4797149334847927,84.09
88,0.2685882560051311,90.762,0.3783184352517128,87.91
89,0.269129188583635,90.698,0.4504433834552765,85.9
90,0.2650798202475623,90.764,0.439438873976469,85.73
91,0.25439120844349533,91.154,0.43653689801692963,85.85
92,0.2549677529298436,91.236,0.43706414237618446,85.74
93,0.25360669894977605,91.294,0.4898866945505142,84.0
94,0.25094340314798036,91.274,0.537778884768486,83.63
95,0.24982837276995334,91.408,0.43163002461194994,85.82
96,0.24498461773785787,91.68,0.47314815893769263,84.8
97,0.24621009820943598,91.422,0.4174793912470341,86.57
98,0.23895335191732173,91.798,0.3579445505142212,87.95
99,0.23851376164066213,91.808,0.3627092304825783,87.84
100,0.22831063791918937,92.174,0.3363302332162857,88.57
101,0.2252837060891149,92.3,0.4983338889479637,83.93
102,0.22937285137908234,92.214,0.38322644427418706,87.7
103,0.22827157351519445,92.118,0.42594176426529884,86.19
104,0.22059635663657542,92.348,0.4022962732613087,87.12
105,0.21666880737027855,92.618,0.36969125106930734,88.3
106,0.2131394070127736,92.756,0.3856865122914314,87.67
107,0.2076025257063339,92.756,0.4450676792860031,86.55
108,0.20743763585910774,92.996,0.5114087620377541,84.44
109,0.20818456969297755,92.738,0.3661573838442564,88.22
110,0.20376975864857969,92.988,0.3495079839229584,88.72
111,0.19892661526913533,93.178,0.36081403255462646,88.7
112,0.19781873834407543,93.104,0.3317779579758644,88.94
113,0.19417572023389895,93.224,0.32213932082057,89.29
114,0.1882386849359478,93.49,0.4300517100095749,86.36
115,0.18413560070535717,93.7,0.36060602724552154,88.53
116,0.1841572475097978,93.708,0.39183948263525964,87.83
117,0.1781131794766697,93.816,0.5470574147999286,84.27
118,0.1776705100046247,93.852,0.35003664791584016,89.21
119,0.17584205178729714,93.846,0.36761484041810033,88.17
120,0.16763943296564204,94.206,0.319653977304697,90.07
121,0.16229055436027934,94.456,0.3402471326291561,89.28
122,0.16001567992446064,94.348,0.3469978992640972,88.98
123,0.15871641333298306,94.526,0.324634270966053,89.7
124,0.1539978361152627,94.624,0.35140609413385393,88.86
125,0.15215757464432655,94.718,0.3014253424108028,90.57
126,0.14358297844067255,95.108,0.33179974295198916,89.62
127,0.14487423436225527,95.05,0.3213559567928314,89.87
128,0.1418850583969937,95.114,0.3106361708790064,90.36
129,0.14050659269589902,95.232,0.3587938040494919,89.12
130,0.13196261414824545,95.396,0.34779480934143064,89.79
131,0.1255404833142105,95.67,0.2918163102865219,90.53
132,0.126490424551508,95.604,0.33208487622439864,89.99
133,0.11786370973109894,95.912,0.3360657420009375,89.96
134,0.12177470081564411,95.776,0.28137666545808315,91.02
135,0.11177549872290143,96.14,0.2617202688753605,91.89
136,0.11834094562875036,95.884,0.28521784380078313,91.15
137,0.11055488675794638,96.24,0.26663996554911135,91.8
138,0.10387590982477225,96.404,0.3459730129688978,90.15
139,0.10115498689758351,96.55,0.3093914625048637,90.89
140,0.09791971926989458,96.65,0.32862179532647134,90.14
141,0.09309752305250263,96.834,0.3452179668843746,90.06
142,0.09298668427826345,96.758,0.31734676614403723,90.47
143,0.0835106718970839,97.174,0.31331040754914286,90.88
144,0.08063748334546375,97.23,0.3112535160779953,91.23
145,0.08366825491132791,97.07,0.2665438263863325,91.92
146,0.0740280842594326,97.508,0.25041918627917764,92.43
147,0.07215982423547436,97.47,0.2856070100143552,91.92
148,0.06549129191824161,97.832,0.25825160544365644,92.49
149,0.0646763368035712,97.856,0.24954878505319356,92.66
150,0.060631208162268864,97.908,0.25418206583708525,92.78
151,0.05941707756408417,97.934,0.2543512788414955,92.8
152,0.05465847524621374,98.12,0.28079665802419185,91.97
153,0.05257689827324256,98.288,0.2521249831095338,92.83
154,0.05089098040271751,98.332,0.2423981373012066,93.01
155,0.04024082493475255,98.712,0.2543781231716275,92.95
156,0.037150015692462394,98.784,0.24575817763805388,93.51
157,0.040686854773470206,98.622,0.26140956319868563,93.06
158,0.03589977153464961,98.852,0.26954013369977475,92.83
159,0.03201456714297652,98.948,0.27561899986118077,93.17
160,0.029342690113541264,99.038,0.2437970321998,93.57
161,0.03181758521439131,98.986,0.23140277985483407,93.5
162,0.022722426501800643,99.358,0.2513708759099245,93.31
163,0.02425150815016397,99.21,0.24068936333060265,93.64
164,0.022880831554703548,99.304,0.24154554162174463,93.81
165,0.017403421949719073,99.47,0.21464114002883433,94.34
166,0.014235297958735767,99.584,0.2160058992728591,94.42
167,0.012443674890243488,99.616,0.2363391101360321,94.3
168,0.010918320157824804,99.684,0.24144393332302572,93.94
169,0.009034800884502052,99.75,0.22857439562678336,94.24
170,0.008662554863578333,99.766,0.2208104150928557,94.56
171,0.00794315636169899,99.776,0.22476557195186614,94.46
172,0.00559534416641192,99.872,0.21696119606494904,94.76
173,0.005076033877842414,99.872,0.2186735401302576,94.81
174,0.0037628486377360953,99.92,0.21312883708626032,95.01
175,0.003870923694966318,99.93,0.2091818567737937,94.8
176,0.0033293042618952823,99.936,0.21008005725219847,94.93
177,0.0032656127082295906,99.938,0.21241467403247952,95.02
178,0.0028906181315317405,99.95,0.21021633939817547,95.15
179,0.0027192553595813645,99.942,0.20651788434013724,95.02
180,0.002187239080000564,99.968,0.20570098927244543,95.08
181,0.0020341991040203006,99.972,0.20344643197953702,95.32
182,0.0019012248653280156,99.972,0.20467082284390925,95.35
183,0.001832227504578755,99.98,0.2003503579646349,95.27
184,0.0014824281134606931,99.994,0.1979671824723482,95.38
185,0.0015543026306554485,99.988,0.19796447467058897,95.45
186,0.0014729161463651681,99.986,0.20146393924951553,95.29
187,0.0014040407788989794,99.988,0.20028698863461614,95.44
188,0.0014777588384116396,99.99,0.19552648790180682,95.44
189,0.001492720404121777,99.988,0.194610792985186,95.38
190,0.0014845001894761534,99.99,0.19723747943527997,95.43
191,0.0012846255664239682,99.994,0.19568108246661722,95.41
192,0.0013628680690113083,99.992,0.19473948070779443,95.57
193,0.0013008906084405797,99.99,0.1959536518063396,95.44
194,0.0012266258616834079,99.996,0.19663855098653585,95.46
