Epoch,train_loss,train_acc,val_loss,val_acc
1,1.842894581882545,33.728,1.4663375627994537,45.7
2,1.251643016057856,54.694,1.1437204283475877,58.41
3,0.9461578229809051,66.476,0.9830925464630127,65.23
4,0.7565146089362367,73.634,0.8578086763620376,70.16
5,0.6469833451463743,77.856,0.6921184998750687,75.75
6,0.5849851511628427,79.832,0.6493886613845825,78.01
7,0.5353850335111399,81.668,1.397532262802124,61.12
8,0.5119830214458964,82.492,0.7012579283118248,77.18
9,0.48798030111795804,83.304,0.6003000476956367,79.91
10,0.47496343733709484,83.79,0.536261782348156,81.66
11,0.4496427220304299,84.806,0.6155646061897277,79.46
12,0.4397042235145179,85.012,0.5691861176490783,80.82
13,0.43013096480723234,85.194,0.9213938021659851,73.16
14,0.4152822554721247,85.792,0.5915907740592956,80.62
15,0.409695254948438,85.938,0.5000630754232407,83.35
16,0.40067677737197,86.354,0.687976368367672,78.89
17,0.3949508714630171,86.634,0.6028954640030861,80.05
18,0.38818966587791054,86.724,1.540504328608513,59.13
19,0.381997827068924,86.82,0.5263387316465378,82.63
20,0.38009153615178354,87.07,0.5458226200938224,81.72
21,0.37076866531463537,87.288,0.5166466957330704,82.24
22,0.3666010265764983,87.444,0.5413811603188514,83.42
23,0.36942984746850055,87.42,0.6025052401423454,80.41
24,0.3598610320130882,87.796,0.5055051106214523,83.93
25,0.36140089876511516,87.576,0.5327224457263946,82.69
26,0.34795803189887414,88.112,0.41393089935183525,86.17
27,0.35611005821039,87.868,0.6233404368162155,79.89
28,0.33925736503070575,88.442,0.5702439504861831,81.18
29,0.34960988506941537,87.952,0.46720537066459655,84.59
30,0.341613808556286,88.398,0.4835172347724438,84.5
31,0.33493853731990775,88.59,0.568287305533886,81.22
32,0.33896315997213966,88.662,0.4752009895443916,84.06
33,0.33718192958465926,88.462,0.45587614461779596,84.84
34,0.33443971713790505,88.624,0.6272397834062576,80.71
35,0.33201848980410936,88.634,0.6337233343720436,79.94
36,0.3232521976313323,89.014,0.45375067353248594,85.06
37,0.3291703273954294,88.678,0.4135709297657013,85.67
38,0.31669200400409797,89.168,0.5516680273413658,82.27
39,0.31887576799563433,89.03,0.4406205788254738,85.66
40,0.3219934952304796,89.022,0.4333572588860989,85.57
41,0.31721168009521405,89.082,0.5174657738208771,83.16
42,0.3166355234201607,89.244,0.5787150254845619,81.05
43,0.3092592171467174,89.43,0.44324528470635416,85.57
44,0.3113824247246813,89.346,0.359241963326931,87.99
45,0.30923965403719633,89.492,0.4380592155456543,85.37
46,0.30649453428242823,89.674,0.44563318029046056,85.74
47,0.30572033816438804,89.644,0.5186465385556221,83.23
48,0.3104999269670842,89.326,0.5394490484893322,83.17
49,0.301087047571264,89.78,0.3666429929435253,88.1
50,0.2999395949532614,89.868,0.47724349990487097,84.79
51,0.2967023301841048,89.88,0.42390340343117716,86.68
52,0.29188435743836794,90.04,0.7345864197611809,78.75
53,0.29179682674081736,89.928,0.45585311084985736,85.16
54,0.2933872087151193,89.848,0.38425771534442904,87.14
55,0.28950819952408674,90.09,0.46375256434082984,85.14
56,0.29378085861654235,90.124,0.40881927236914634,86.18
57,0.28722982981320844,90.31,0.5049152320623398,84.06
58,0.2825629895224291,90.39,0.45028287440538406,85.52
59,0.2877351237684869,90.134,0.42081797823309897,86.56
60,0.27679826761298165,90.546,0.4397294014692307,85.15
61,0.27751235873497965,90.546,0.5206786823272705,83.39
62,0.2760696008306025,90.684,0.4040242049098015,86.38
63,0.2735431039196146,90.678,0.44570999562740327,85.09
64,0.2695999802530879,90.886,0.49334389746189117,83.67
65,0.2725362127927868,90.676,0.37150265723466874,87.79
66,0.2667439252976566,90.9,0.413067669570446,86.61
67,0.268900594481117,90.736,0.372437552511692,87.61
68,0.26862983114045597,90.924,0.5667944350838661,82.09
69,0.26858299579995365,90.754,0.4897428447008133,84.49
70,0.26030079909907583,91.156,0.40605158612132075,86.95
71,0.25581059210440693,91.35,0.44769210159778594,85.66
72,0.26245575644018704,91.036,0.4175590528547764,86.61
73,0.2614008579260248,91.074,0.3441188511252403,88.58
74,0.25559106993172176,91.234,0.44346538931131363,85.15
75,0.2454012375505989,91.648,0.41069003283977507,86.45
76,0.24829609732112617,91.542,0.3779821465909481,87.62
77,0.2463430355272025,91.5,0.4872168043255806,84.21
78,0.24410158904540874,91.75,0.3924275705218315,87.49
79,0.23888480118321032,91.87,0.39603804230690004,87.23
80,0.24314452404789913,91.614,0.394150003194809,87.68
81,0.24113380844178406,91.792,0.3465095728635788,88.52
82,0.2349432591167862,91.986,0.4030450250208378,87.3
83,0.2283059332110083,92.118,0.4457326450943947,86.34
84,0.2337373494339721,91.988,0.3620168235898018,88.31
85,0.23144665442388077,92.192,0.36749538213014604,88.06
86,0.2241397706215339,92.416,0.3804066872596741,87.71
87,0.22358774666286185,92.282,0.4260948322713375,86.56
